location,percentage_delayed,warehouse_status
"DhenkanalHub_DNK Dhenkanal",25.00,"Prioritize for Clearing"
"ElasticRunVijayawadaSplitODH_VJA2 Vijayawada",25.00,"Prioritize for Clearing"
"FBD/BLG, Delhi NCR, DELHI",25.00,"Prioritize for Clearing"
"GOALPARA OFFICE",25.00,"Prioritize for Clearing"
"GUNTUR, ANDHRA PRADESH, IN",25.00,"Prioritize for Clearing"
Gurgaon,25.00,Important
Patna,25.00,"Prioritize for Clearing"
"PATNA HUB (PATW)",25.00,"Prioritize for Clearing"
"Pilibhit, Pilibhit, UTTAR PRADESH",25.00,"Prioritize for Clearing"
"Pollachi, Tamil Nadu, IN",25.00,"Prioritize for Clearing"
"Porvorim, Porvorim, GOA",25.00,"Prioritize for Clearing"
"Pratapgarh-RJ, PratapgarhRJ, RAJASTHAN",25.00,"Prioritize for Clearing"
"RAJKOT ETAIL CENTER",25.00,Important
"RourkelaTownMDH_RRK Rourkela",25.00,"Prioritize for Clearing"
"SONIPAT, Panipat, HARYANA",25.00,"Prioritize for Clearing"
"GAU/PC1, Guwahati, ASSAM",23.92,"Prioritize for Clearing"
"SEEPZ SAKINAKA HUB",23.53,"Prioritize for Clearing"
JHAJJHAR,22.99,"Prioritize for Clearing"
"MORADABAD EXPANSION",22.22,"Prioritize for Clearing"
"Mumbai, MH, IN",22.22,"Prioritize for Clearing"
"Nagaur, Nagaur, RAJASTHAN",22.22,"Prioritize for Clearing"
HRBS,22.22,"Prioritize for Clearing"
"DEL/KMP, New Delhi, DELHI",22.22,"Prioritize for Clearing"
"VIMAN NAGAR",22.22,"Prioritize for Clearing"
ALMORA,22.22,"Prioritize for Clearing"
"Bhunter, BHUNTER, HIMACHAL PRADESH",22.22,"Prioritize for Clearing"
"BOM/SRE-EHV, Mumbai, MAHARASHTRA",22.22,"Prioritize for Clearing"
DHARAMSHALA,21.74,"Prioritize for Clearing"
OGLC,21.74,"Prioritize for Clearing"
"VISAKHAPATNAM, ANDHRA PRADESH, IN",21.74,"Prioritize for Clearing"
"HYDERABAD - HYD",21.05,"Prioritize for Clearing"
"BHO/LGT-TML, Bhopal, MADHYA PRADESH",20.83,"Prioritize for Clearing"
"BOM/SA-VASAI, Vasai, MAHARASHTRA",20.69,"Prioritize for Clearing"
"LUCKNOW WAREHOUSE",20.00,Ignore
"Ludhiana Hub Ludhiana",20.00,Ignore
Lunglei,20.00,Ignore
"Maa/RED, Chennai, TAMIL NADU",20.00,Ignore
"MANGRULPIR, MAHARASHTRA, IN",20.00,Ignore
"Morgram, SAGARDIGHI, WEST BENGAL",20.00,Ignore
"MUMBAI AIRPORT WAREHOUSE",20.00,Ignore
"MUMBAI EAST WAREHOUSE",20.00,Important
NARAYANPET,20.00,Ignore
PALONCHA,20.00,Ignore
AMBS,20.00,Ignore
ANUPPUR,20.00,Ignore
"AshokNagar, Ashoknagar, MADHYA PRADESH",20.00,Ignore
"Baramulla JK, Baramulla, JAMMU AND KASHMIR",20.00,Ignore
"Barasat1, Barasat, WEST BENGAL",20.00,Ignore
"Bengabad, Bengabad, JHARKHAND",20.00,Ignore
"Bhusawal City, Bhusawal, MAHARASHTRA",20.00,Ignore
"BOM/BYCULLA-TML, Mumbai, MAHARASHTRA",20.00,Ignore
"BOM/MAT, Mumbai, MAHARASHTRA",20.00,Ignore
BUVANAGIRI,20.00,Ignore
"CABTSRNagarODH_HYD HYDERABAD",20.00,Ignore
"ChaderghatHub_HYD Hyderabad",20.00,Ignore
Chengam,20.00,Ignore
"Chirala, Chirala, ANDHRA PRADESH",20.00,Ignore
CHSK,20.00,Ignore
"Dalhousie, DALHOUSIE, HIMACHAL PRADESH",20.00,Ignore
DEDH,20.00,Ignore
"DEL/OKH2, Okhla, DELHI",20.00,Ignore
"Delhi, DL, IN",20.00,Ignore
"Dhariwal, Gurdaspur, PUNJAB",20.00,Ignore
"Dhodha, Dhodha, CHHATTISGARH",20.00,Ignore
